id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,username
825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,Rachel Contreras
1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,$37891,$77254,$191349,701,5,Elizabeth Carr
1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698,5,Anna Garcia DDS
708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722,4,Melinda Torres
1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,$53797,$109687,$183855,675,1,Joel Gomez
68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,$20599,$41997,$0,704,3,Joshua Sellers
1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,$25258,$51500,$102286,672,3,Danielle Davis
1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,$26790,$54623,$114711,728,1,Bradley Willis
1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755,5,Angela Hamilton
1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,$18730,$38190,$81262,810,1,Maria Porter
192,27,66,1992,6,Male,888 Fifth Lane,38.65,-121.25,$27548,$56164,$15224,761,2,Samuel Hernandez
640,29,63,1990,9,Female,8677 Littlewood Lane,40.42,-104.74,$22427,$45727,$94016,629,1,Kimberly Lee
1679,18,67,2002,1,Female,829 Fourth Boulevard,41.76,-71.48,$33914,$69149,$89214,776,1,Cathy Shelton
1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,$20325,$41442,$78833,712,3,Martin Gross DDS
1590,48,62,1971,5,Female,781 East Street,29.45,-98.5,$10059,$20513,$32509,599,1,Jennifer Martinez
1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723,6,Carrie Brewer
1747,54,71,1966,1,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719,6,Stephen Baird
153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,$21950,$27484,$16803,660,4,Jennifer Bennett
429,22,68,1997,11,Male,8145 Spruce Boulevard,35.19,-80.83,$26481,$53995,$89056,683,3,Jeffrey Curry
511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661,5,James Kline
309,28,57,1991,8,Male,2473 Lake Avenue,32.07,-82.91,$12321,$25122,$43205,819,3,Darren Davis
777,18,65,2002,1,Male,970 Essex Drive,37.37,-122.21,$106305,$216740,$0,700,2,Aaron Wilson
1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,$19524,$41109,$21486,698,2,Tracy Snyder
1674,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,$14172,$26858,$11245,712,2,Dennis Stokes
482,45,65,1975,1,Male,195 Eighth Boulevard,42.39,-122.93,$17131,$34929,$63849,714,1,David Nolan
877,36,63,1983,8,Female,801 Mill Boulevard,33.44,-111.85,$16829,$34317,$61826,610,3,Kiara Johnson
128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,$15389,$31377,$59615,722,2,Emily Villegas
775,37,58,1982,9,Male,776 Norfolk Boulevard,34.17,-118.46,$21402,$43638,$104052,627,1,Michael Rogers
1536,41,67,1978,11,Male,2015 Bayview Avenue,36.15,-85.5,$15955,$32531,$38260,766,2,Thomas Mccarty
140,37,72,1983,2,Female,108 Washington Street,36.28,-86.83,$20657,$42120,$72801,739,4,Janice Tucker
1884,18,64,2001,5,Male,660 Seventh Drive,39.98,-82.98,$28092,$57281,$89114,850,1,Richard Reed
1874,49,66,1970,9,Male,7505 Tenth Boulevard,25.77,-80.2,$18828,$38390,$87923,783,4,Mark Russell
1310,33,69,1986,9,Female,4930 Birch Drive,33.92,-78.02,$17498,$35670,$58182,751,2,Lindsay Moyer
1689,21,66,1998,9,Female,93 Plum Lane,41.29,-72.36,$30281,$61746,$154817,637,2,Mary Schaefer
379,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,$21331,$43496,$114563,765,3,Melissa Rogers
34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,$25431,$51854,$72162,737,2,Derrick Perez
822,51,68,1968,4,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,$34540,$22641,793,5,Anna Hall
1499,46,62,1973,11,Male,8738 Fourth Street,41.97,-88.14,$20248,$41287,$88151,662,1,Jeff Spencer
1780,46,70,1973,10,Male,9344 Mill Drive,36.62,-121.82,$18663,$38054,$63293,666,1,Larry King
1806,59,62,1961,2,Female,299 11th Street,42.31,-71.64,$39418,$80371,$108499,822,1,Beverly Brown
811,91,68,1929,2,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741,7,Sharon Smith
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706,5,Anthony White
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,$32056,$65357,$21844,685,4,Samuel Moss
1231,26,52,1994,1,Female,613 Little Creek Lane,26.41,-81.42,$10819,$22066,$38967,842,1,Shelley Rivera
970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81.0,$21916,$44681,$42011,770,3,William Harper
381,26,69,1994,2,Male,5101 Birch Lane,38.72,-90.47,$25163,$51306,$68198,675,1,Gregory Anderson
1134,18,59,2002,2,Female,7 11th Drive,29.45,-98.5,$12677,$25847,$46379,568,1,Lisa Stevens
1296,60,64,1959,11,Female,2468 Spruce Drive,28.7,-81.34,$22896,$46683,$93126,788,5,Jessica Bailey
1880,61,66,1958,11,Male,8001 Essex Boulevard,43.06,-87.96,$15487,$31579,$52419,771,3,Stephen White
322,47,65,1972,10,Male,708 George Street,31.22,-84.21,$13759,$28055,$12475,829,3,Terry Moore
461,42,68,1977,12,Female,28 Hillside Boulevard,42.3,-83.48,$32078,$65403,$80057,784,4,Tara Olson
1165,55,73,1964,11,Female,446 Birch Drive,36.37,-84.12,$13522,$27572,$59404,797,1,Brittany Rodriguez
1448,48,70,1971,12,Female,578 Maple Avenue,35.05,-82.09,$18899,$38539,$0,850,3,Gabrielle Nguyen
1288,41,57,1978,7,Female,14 Valley Drive,38.47,-81.81,$18666,$38059,$68220,634,2,Brenda Dennis
1178,59,68,1960,11,Female,2475 Little Creek Boulevard,30.56,-97.86,$25872,$52754,$38191,693,5,Stephanie Ashley
1391,45,59,1975,2,Male,9604 Catherine Drive,40.72,-73.86,$25109,$51196,$67164,631,4,Gary Ayers
838,26,70,1993,7,Male,349 First Drive,33.78,-84.44,$24382,$49713,$91776,763,1,Timothy Johnson
54,21,68,1998,4,Female,7914 Essex Boulevard,41.66,-83.58,$21660,$44160,$134173,696,3,Diamond Hoover
1452,46,59,1973,5,Female,524 Ocean Drive,29.76,-95.38,$95039,$193773,$241571,660,1,Valerie Flores
1602,41,66,1979,2,Female,2079 Maple Drive,40.38,-77.88,$14650,$29864,$44902,717,2,Rhonda Sellers
1938,22,67,1997,7,Male,295 Valley Drive,29.45,-98.5,$28135,$57367,$115418,795,2,Derrick Byrd
1492,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,$32697,$56635,$13015,786,8,April Richardson
688,44,67,1975,3,Male,5125 Elm Drive,41.31,-111.96,$23165,$47227,$151030,760,4,Richard Johnson
749,22,68,1997,10,Male,4098 Park Drive,32.75,-97.33,$12051,$24574,$80667,674,3,Caleb Rivera
643,29,65,1991,1,Female,892 Spruce Street,40.69,-73.75,$21283,$43397,$42168,697,2,Allison Kemp
1219,28,72,1991,6,Female,9977 Oak Avenue,38.68,-76.17,$28497,$58105,$70254,688,3,Autumn Sexton
1198,82,67,1937,6,Male,79 South Boulevard,29.5,-97.44,$15092,$10869,$1820,820,2,Christopher Rodriguez
898,90,66,1929,6,Female,145 River Drive,40.59,-75.47,$12427,$19893,$1712,566,3,Monica Riley
882,63,65,1956,8,Male,7605 Essex Boulevard,40.39,-82.47,$18019,$36743,$71719,612,2,Ryan Hughes
348,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,$22747,$46377,$79980,719,3,Rachel Ferguson
633,36,69,1983,10,Female,5506 Fifth Boulevard,33.88,-118.27,$24611,$50179,$110515,743,1,Hannah Marquez
1493,30,65,1989,11,Male,136 Spruce Street,38.22,-122.55,$26748,$54537,$121987,765,4,John Foley
1161,23,66,1996,12,Male,306 First Drive,28.68,-81.51,$24155,$49255,$6557,823,2,Joshua Reynolds
217,42,65,1977,10,Male,272 Burns Boulevard,41.77,-87.82,$15221,$31031,$21853,744,7,Troy Hendricks
1877,65,66,1955,1,Male,190 Sixth Drive,32.92,-96.45,$34659,$70673,$87605,714,4,Steven Berry
668,87,57,1932,10,Female,8569 Wessex Boulevard,33.52,-86.79,$13263,$16342,$1758,747,5,Sherry Hernandez
533,22,65,1997,9,Male,385 Lexington Boulevard,32.71,-102.65,$15183,$30961,$42597,677,1,Daniel Huff
203,58,67,1961,3,Female,407 Park Lane,32.9,-80.93,$14864,$30305,$23392,776,3,Ann Miller
1738,30,68,1989,3,Male,5142 Little Creek Street,35.67,-97.41,$33736,$68784,$198417,696,4,Gregory Hernandez
713,25,71,1994,8,Female,224 Mountain View Boulevard,48.19,-114.38,$17040,$34745,$26503,691,4,Catherine Jones
1631,18,67,2001,11,Female,4735 Fifth Avenue,30.44,-91.12,$31741,$64715,$174664,740,3,April Santos
1487,59,69,1961,2,Female,4793 North Street,40.69,-80.01,$39464,$80464,$76261,727,3,Samantha Oconnell
1265,18,67,2002,2,Female,72 El Camino Boulevard,40.43,-79.97,$24400,$49748,$23161,748,1,Kimberly Beck
370,61,58,1958,11,Male,381 Fifth Lane,34.07,-117.62,$16113,$41904,$12545,655,4,Mark Gamble
1014,54,70,1965,9,Female,393 Mountain View Lane,33.6,-117.82,$96516,$196784,$437533,729,3,Megan Clarke
290,27,66,1992,3,Female,293 Wessex Street,42.4,-83.6,$49458,$100837,$61377,687,2,Rachel Jones
985,32,65,1987,6,Male,7276 Fourth Drive,42.8,-83.71,$25334,$51654,$95454,600,4,Richard Woods
135,64,69,1955,6,Female,327 Lafayette Boulevard,39.72,-82.59,$18680,$38088,$51679,691,2,Stephanie Massey
